id,name,alias,name_en,category,kcal,protein,fat,carb,sodium
E5300601,結球萵苣,"球萵苣,包心萵苣,捲心萵苣,生菜,包心媚仔菜,結球妹仔菜",Head lettuce,蔬菜類,13.0,0.7,0.1,2.8,7.0
E5400101,豌豆苗,"豆苗,豆鬚,荷蘭豆苗(鬚),飛龍豆苗",sweet pea sprout,蔬菜類,31.0,3.7,0.5,4.4,4.0
E5500101,龍葵,"黑甜菜,烏甜(田)菜,烏甜仔,烏子(克)菜,烏子茄,苦葵(菜),天茄子,天泡草,老鴉酸漿草",morelle,蔬菜類,26.0,3.8,0.3,3.4,32.0
E5600101,蕹菜(土植)(1月取樣),"空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜",Water convolvulus; Water spinach;,蔬菜類,22.0,2.0,0.3,3.5,166.0
E5600102,蕹菜(土植)(4月取樣),"空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜",Water convolvulus; Water spinach;,蔬菜類,20.0,1.7,0.2,3.5,113.0
E5600103,蕹菜(土植)(7月取樣),"空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜",Water convolvulus; Water spinach;,蔬菜類,17.0,1.9,0.1,2.8,97.0
E5600104,蕹菜(土植)(10月取樣),"空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜",Water convolvulus; Water spinach;,蔬菜類,17.0,1.8,0.3,2.6,122.0
E5600201,蕹菜(水耕)(1月取樣),"空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜",Water convolvulus; Water spinach;,蔬菜類,27.0,2.7,0.3,4.5,15.0
E5600202,蕹菜(水耕)(4月取樣),"空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜",Water convolvulus; Water spinach;,蔬菜類,24.0,2.2,0.1,4.3,13.0
E5600203,蕹菜(水耕)(7月取樣),"空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜",Water convolvulus; Water spinach:organic,蔬菜類,17.0,1.9,0.2,2.7,8.0
E5600204,蕹菜(水耕)(10月取樣),"空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜",Water convolvulus; Water spinach;,蔬菜類,23.0,2.2,0.3,3.8,29.0
E5600301,蕹菜(有機)(4月取樣),"空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜",Water convolvulus; Water spinach:organic,蔬菜類,26.0,1.9,0.3,4.7,62.0
E5600302,蕹菜(有機)(10月取樣),"空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜",Water convolvulus; Water spinach:organic,蔬菜類,19.0,1.7,0.4,3.0,33.0
E5600401,水蕹菜,,,蔬菜類,24.0,2.6,0.5,3.3,41.0
E5700101,蘿蔔葉,葉蘿蔔,,蔬菜類,14.0,1.7,0.2,2.0,214.0
E5800101,花椰菜,"花菜,菜花,白花菜,白菜花",Cauliflower,蔬菜類,23.0,1.8,0.1,4.5,14.0
E5800201,冷凍花椰菜,"花菜,菜花,白花菜,白菜花",Cauliflower: frozen,蔬菜類,21.0,1.3,0.1,4.5,33.0
E5800301,紫色花椰菜,,Cauliflower(purple),蔬菜類,40.0,3.1,0.3,7.6,20.0
E5800401,青花菜(1999年取樣),"(青花菜非綠色花椰菜)青(綠)花菜,美國花菜,青花苔,花(青)菜苔,菜苔,花菜苞",Broccoli,蔬菜類,28.0,3.7,0.2,4.4,15.0
E5800402,青花菜(2021年取樣),"(青花菜非綠色花椰菜)青(綠)花菜,美國花菜,青花苔,花(青)菜苔,菜苔,花菜苞",Broccoli,蔬菜類,38.0,3.4,0.4,6.5,13.0
